,date,burn_type,burn_number,length,power,factor_before,factor_after,dead_before,dead_after,dir,result
1291,17-03-2022 10.59.48,pixel-burn4,4,50.0000,6.0000,0.6329012755480216,0.39352404944940783,0.030325,0.03740625,-1,FAILED
1292,17-03-2022 11.00.53,pixel-burn4,5,50.0000,5.8750,0.39352404944940783,0.31642288957263137,0.03740625,0.0595125,-1,FAILED
1293,17-03-2022 11.01.57,shining-moon3,6,40.0000,5.7500,0.31642288957263137,0.3408882849377771,0.0595125,0.12613125,-1,FAILED
1294,17-03-2022 11.03.01,shining-moon3,7,40.0000,5.6250,0.3408882849377771,0.40868645478147025,0.12613125,0.1550125,-1,FAILED
1295,17-03-2022 11.04.05,pixel-burn4,8,50.0000,5.8750,0.40868645478147025,0.5204169155600484,0.1550125,0.18389375,-1,FAILED
1296,17-03-2022 11.05.09,pixel-burn4,9,50.0000,5.8750,0.5204169155600484,0.5348780881640562,0.18389375,0.14846875,-1,FAILED
1297,17-03-2022 11.06.15,pixel-burn4,10,50.0000,5.8750,0.5348780881640562,0.5730089687824782,0.14846875,0.1881625,-1,FAILED
1298,17-03-2022 11.07.19,pixel-burn4,11,50.0000,5.8750,0.5730089687824782,0.5736103220404868,0.1881625,0.16393125,-1,FAILED
1299,17-03-2022 11.08.24,shining-moon3,12,40.0000,5.5000,0.5736103220404868,0.5739889126874134,0.16393125,0.20630625,-1,FAILED
1300,17-03-2022 11.09.28,pixel-burn4,13,50.0000,5.8750,0.5739889126874134,0.6565144898769353,0.20630625,0.21281875,-1,FAILED
1301,17-03-2022 11.10.32,pixel-burn4,14,50.0000,5.8750,0.6565144898769353,0.9475923519104059,0.21281875,0.033425,-1,FAILED
1302,17-03-2022 11.11.36,pixel-burn4,15,50.0000,5.8750,0.9475923519104059,0.7979927428788568,0.033425,0.161175,-1,FAILED
1303,17-03-2022 11.12.40,pixel-burn4,16,50.0000,5.8750,0.7979927428788568,0.9591490950836451,0.161175,0.0962625,-1,FAILED
1304,17-03-2022 11.13.44,pixel-burn4,17,50.0000,5.8750,0.9591490950836451,0.8977017372572722,0.0962625,0.19341875,-1,FAILED
1305,17-03-2022 11.14.48,pixel-burn4,18,50.0000,5.8750,0.8977017372572722,0.9356572288904689,0.19341875,0.10334375,-1,FAILED
1306,17-03-2022 11.15.52,shining-moon3,19,40.0000,5.5000,0.9356572288904689,0.936840935298776,0.10334375,0.10029375,-1,FAILED
1307,17-03-2022 11.16.57,pixel-burn4,20,50.0000,5.8750,0.936840935298776,0.9858664030102356,0.10029375,0.1213375,-1,FAILED
1308,17-03-2022 11.18.01,pixel-burn4,21,50.0000,5.8750,0.9858664030102356,0.7218362014710463,0.1213375,0.0168625,-1,FAILED
1309,17-03-2022 10.55.30,pixel-burn4,22,50.0000,6.5000,0.7218362014710463,0.9796625775178054,0.0168625,0.07683125,-1,FAILED
1310,17-03-2022 11.20.09,pixel-burn4,23,50.0000,5.8750,0.9796625775178054,0.9810436305568434,0.07683125,0.02935625,-1,FAILED
1311,17-03-2022 11.21.13,pixel-burn4,24,50.0000,5.8750,0.9810436305568434,0.9678079517455872,0.02935625,0.07159375,-1,FAILED
1312,17-03-2022 11.22.18,pixel-burn4,25,50.0000,5.8750,0.9678079517455872,0.9888852390880265,0.07159375,0.0676875,-1,FAILED
1313,17-03-2022 11.23.21,pixel-burn4,26,50.0000,5.8750,0.9888852390880265,0.9626085112495981,0.0676875,0.0863625,-1,FAILED
1314,17-03-2022 11.24.25,pixel-burn4,27,50.0000,5.8750,0.9626085112495981,0.9700273439702317,0.0863625,0.11315625,-1,FAILED
